Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,87,false,menisadi,2025-12-15T20:17:44Z,"","Darkroom/Interscope Records",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
spotify:track:1MxHIIzcTeFnaNsDGY3pfj,"Call It Dreaming","Beast Epic","Iron & Wine",2017-08-25,231754,66,false,menisadi,2025-12-15T20:17:44Z,"indie folk","Sub Pop Records",0.512,0.501,5,-9.971,1,0.0325,0.609,0.0000625,0.0973,0.726,79.989,4
spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,"1950","1950","King Princess",2018-02-23,225133,65,true,menisadi,2025-12-15T20:17:44Z,"","Zelig Records, LLC./Columbia Records",0.6,0.535,4,-7.043,1,0.107,0.648,0.0000047,0.162,0.269,71.912,4
spotify:track:3B3eOgLJSqPEA0RfboIQVM,"Skinny Love","For Emma, Forever Ago","Bon Iver",2008-02-19,238520,75,false,menisadi,2025-12-15T20:17:44Z,"","Jagjaguwar",0.592,0.263,4,-14.029,0,0.0568,0.845,0.00000568,0.127,0.109,76.366,4
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!","Chappell Roan",2024-04-05,218423,90,false,menisadi,2025-12-15T20:17:44Z,"","Chappell Roan PS/ Island",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
spotify:track:0Oqxt6JixieLHbwMfnJGWO,"Paris, Texas (feat. SYML)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey;SYML",2023-03-24,206722,72,false,menisadi,2025-12-15T20:17:44Z,"","Polydor Records",0.287,0.102,0,-17.529,0,0.0334,0.985,0.0559,0.109,0.198,170.253,3
spotify:track:46uktboi95gUvrnfqoMJTr,"כל מה שיש לי","כל מה שיש לי","Rona Kenan",2024-08-15,204423,34,false,menisadi,2025-12-15T20:17:44Z,"","Helicon Music",0.73,0.419,5,-11.486,0,0.039,0.76,0.00128,0.0884,0.562,96.995,4
spotify:track:4FeYX8QKpNA1Nof6XLsMnv,"S P E Y S I D E","SABLE, fABLE","Bon Iver",2025-04-11,209077,67,false,menisadi,2025-12-15T20:17:44Z,"","Jagjaguwar",0.467,0.247,7,-14.161,1,0.0314,0.906,0.0157,0.157,0.258,140.232,4
spotify:track:0TFTAtCYhp2tQ9KcJIZb55,"undressed","I Barely Know Her","sombr",2025-08-22,182088,88,false,menisadi,2025-12-15T20:17:44Z,"","Warner Records",0.642,0.887,0,-3.883,1,0.0406,0.137,0,0.0829,0.888,115.999,4
spotify:track:0Z57YWES04xGh3AImDz6Qr,"Real Love Baby","Real Love Baby","Father John Misty",2016-07-26,189293,77,false,menisadi,2025-12-15T20:17:44Z,"","Sub Pop Records",0.417,0.686,7,-6.484,1,0.0373,0.0955,0.0287,0.0989,0.625,204.113,4
spotify:track:1fEGtTZjrjJW8eUeewnNJR,"Flightless Bird, American Mouth","The Shepherd's Dog","Iron & Wine",2007-09-25,241917,71,false,menisadi,2025-12-15T20:17:44Z,"indie folk","Sub Pop Records",0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,3
spotify:track:35ISBknsCeZQtq66xABI9g,"Messy","This Wasn't Meant For You Anyway","Lola Young",2024-06-21,284066,84,true,menisadi,2025-12-15T20:17:44Z,"","Universal-Island Records Ltd.",0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
spotify:track:0FTmksd2dxiE5e3rWyJXs6,"back to friends","back to friends","sombr",2024-12-27,199032,93,false,menisadi,2025-12-15T20:17:44Z,"","Warner Records",0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:4OjdtASj8p9hTwS3D555wk,"crooked the road.","crooked the road.","Mon Rovîa",2024-08-23,175609,71,false,menisadi,2025-12-15T20:17:44Z,"","Nettwerk Music Group",0.644,0.423,7,-12.206,1,0.0441,0.854,0.0092,0.115,0.231,164.045,4
spotify:track:4FuBIkfhZMoRgrDiHL6TYG,"Naked as We Came","Our Endless Numbered Days","Iron & Wine",2004-03-23,152613,40,false,menisadi,2025-12-15T20:17:44Z,"indie folk","Sub Pop Records",0.386,0.205,4,-16.699,1,0.0366,0.653,0.0448,0.106,0.623,172.373,4
spotify:track:4KROoGIaPaR1pBHPnR3bwC,"Pink Moon","Pink Moon","Nick Drake",1972-02-25,124000,66,false,menisadi,2025-12-15T20:17:44Z,"folk,singer-songwriter","UMC (Universal Music Catalogue)",0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344,4
spotify:track:3xoM5gZ2RVQqLkjqEgrJ4x,"Nettles","Nettles","Ethel Cain",2025-06-04,483692,26,false,menisadi,2025-12-15T20:17:44Z,"southern gothic","Daughters of Cain Records",0.346,0.312,0,-9.482,1,0.0304,0.541,0.000379,0.101,0.144,130.069,4
spotify:track:1k2pQc5i348DCHwbn5KTdc,"Pink Pony Club","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,258034,85,false,menisadi,2025-12-15T20:17:44Z,"","Chappell Roan PS/ Island",0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
spotify:track:46s4mYaQ5YVmwxvDa0oYC3,"Relationships","I quit","HAIM",2025-06-20,202013,54,true,menisadi,2025-12-15T20:17:44Z,"","Polydor Records",0.73,0.665,2,-6.244,1,0.0861,0.0106,0,0.0696,0.822,101.003,4
spotify:track:3Tgv4rvWBVwnbmUTlJwzk0,"Do I Wanna Know? - Live At the BBC","Hozier (Special Edition)","Hozier",2014-09-19,257560,74,false,menisadi,2025-12-15T20:17:44Z,"","Universal-Island Records Ltd.",0.517,0.206,7,-10.841,1,0.0324,0.897,0.000829,0.12,0.221,137.204,4
spotify:track:4jiM2fAXVOxl4DAx3wraFx,"Suzanne","Songs Of Leonard Cohen","Leonard Cohen",1967-12-27,230284,65,false,menisadi,2025-12-15T20:17:44Z,"singer-songwriter","Columbia/Legacy",0.409,0.172,6,-16.441,0,0.039,0.921,0.00116,0.111,0.354,131.941,4
spotify:track:44alNkXsYnTyPnkMdohBcx,"Bloom (Online Bonus Track)","Woodland","The Paper Kites",2011-07-01,209816,64,false,menisadi,2025-12-15T20:17:44Z,"indie folk","The Paper Kites",0.581,0.421,1,-9.792,1,0.0245,0.894,0.000491,0.119,0.433,95.969,4
spotify:track:7DSAEUvxU8FajXtRloy8M0,"Flowers","Endless Summer Vacation","Miley Cyrus",2023-08-18,200600,85,false,menisadi,2025-12-15T20:17:44Z,"","Columbia",0.706,0.691,0,-4.775,1,0.0633,0.0584,0.0000699,0.0232,0.632,118.048,4
spotify:track:059gVW493dUeBHkn0gE1zm,"Older","Older","Lizzy McAlpine",2024-04-05,201183,60,false,menisadi,2025-12-15T20:17:44Z,"","Indigo Blue/RCA Records",0.391,0.167,3,-12.994,1,0.0355,0.908,0,0.118,0.189,88.665,3
spotify:track:76Cdo2E1HlmlHOHCHKscfy,"World on a String","Here in the Pitch","Jessica Pratt",2024-05-03,189640,42,false,menisadi,2025-12-15T20:17:44Z,"ambient folk","City Slang",0.459,0.213,2,-11.399,1,0.0355,0.922,0.00223,0.117,0.487,80.202,4
spotify:track:7CIKMtUUz31yX6MNX2nGbB,"Towers","Bon Iver, Bon Iver","Bon Iver",2011-06-21,188040,59,true,menisadi,2025-12-15T20:17:44Z,"","Jagjaguwar",0.379,0.334,9,-12.412,1,0.0316,0.945,0.708,0.273,0.133,91.565,4
spotify:track:6tNQ70jh4OwmPGpYy6R2o9,"Beautiful Things","Beautiful Things","Benson Boone",2024-01-18,180304,85,false,menisadi,2025-12-15T20:17:44Z,"","Night Street Records, Inc./Warner Records Inc.",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
spotify:track:4OzUKx8HTjGAeXqCIic9iD,"I Lied, I'm Sorry","I Lied, I'm Sorry","Chloe Qisha",2024-08-07,162300,54,true,menisadi,2025-12-15T20:17:44Z,"","VLF Records / Are You Serious? Records",0.673,0.742,4,-5.411,1,0.0418,0.0261,0.000093,0.145,0.761,128,4
spotify:track:35KiiILklye1JRRctaLUb4,"Holocene","Bon Iver, Bon Iver","Bon Iver",2011-06-21,336613,71,true,menisadi,2025-12-15T20:17:44Z,"","Jagjaguwar",0.374,0.304,1,-14.52,1,0.0302,0.943,0.298,0.126,0.147,147.969,4
